Size,AverageTime(ns)
1,452455
2,231415
3,254870
4,190595
5,172760
6,92375
7,107540
8,77310
9,176165
10,159005
11,121390
12,91835
13,223580
14,88810
15,46380
16,85430
17,136565
18,88200
19,80875
20,62665
21,111725
22,155175
23,70290
24,98370
25,103750
26,66605
27,168190
28,88180
29,90630
30,88685
31,76575
32,48705
33,64940
34,139400
35,72280
36,87360
37,82025
38,67155
39,90605
40,112160
41,56975
42,108280
43,79735
44,88385
45,107870
46,99860
47,74990
48,98530
49,95700
50,81880
51,130495
52,127000
53,80565
54,90860
55,73710
56,71915
57,139170
58,81915
59,147710
60,362260
61,124665
62,133410
63,119005
64,118160
65,153555
66,102520
67,208450
68,116030
69,161285
70,93670
71,193750
72,102120
73,91750
74,105095
75,93055
76,95145
77,136965
78,104520
79,100980
80,173420
81,184065
82,127240
83,149895
84,131430
85,143745
86,232495
87,183730
88,205335
89,172530
90,124160
91,172570
92,130900
93,176945
94,178530
95,161655
96,180075
97,184900
98,181095
99,150160
100,152390
101,207895
102,173300
103,156510
104,157015
105,215985
106,166605
107,167630
108,166405
109,233805
110,182600
111,174735
112,180970
113,224020
114,180615
115,187470
116,200315
117,223895
118,204590
119,193600
120,307835
121,203010
122,240390
123,295540
124,229710
125,237540
126,264650
127,244825
128,257815
129,261875
130,240400
131,501425
132,247165
133,258640
134,266860
135,236260
136,255135
137,251755
138,275250
139,258740
140,297590
141,287475
142,312300
143,280695
144,295490
145,336675
146,284310
147,283415
148,282945
149,285425
150,313925
151,303140
152,313315
153,326355
154,300100
155,362100
156,306140
157,340940
158,318545
159,355860
160,318125
161,334565
162,333615
163,335675
164,396460
165,346965
166,382955
167,355455
168,407230
169,376330
170,411695
171,367525
172,400425
173,381880
174,427265
175,388460
176,414700
177,412970
178,414530
179,419935
180,395005
181,409940
182,409140
183,420775
184,404175
185,515490
186,555240
187,437215
188,451805
189,430005
190,458565
191,463370
192,449085
193,477895
194,446195
195,488615
196,466320
197,477215
198,499000
199,476545
200,493175
201,506220
202,496865
203,511060
204,535250
205,533215
206,602855
207,557905
208,569755
209,609895
210,667885
211,657830
212,717245
213,795690
214,1073750
215,855185
216,597675
217,680615
218,590480
219,566540
220,559540
221,582055
222,599560
223,580485
224,601950
225,620840
226,606040
227,590470
228,608340
229,684225
230,792050
231,610275
232,633785
233,686510
234,666205
235,647620
236,640670
237,701845
238,726555
239,701635
240,704510
241,709245
242,694540
243,697950
244,696445
245,690380
246,706320
247,705860
248,760775
249,755625
250,754000
251,760640
252,743815
253,763130
254,776635
255,785230
256,847060
257,877950
258,784485
259,839285
260,806230
261,827250
262,800520
263,808225
264,852395
265,831510
266,842510
267,871385
268,872945
269,870445
270,969275
271,906580
272,888200
273,901655
274,883290
275,864180
276,881150
277,912295
278,912915
279,889225
280,892010
281,945860
282,948810
283,945360
284,918400
285,950600
286,952330
287,954285
288,1026960
289,986730
290,937660
291,889255
292,937675
293,965865
294,892730
295,923350
296,963795
297,924490
298,944410
299,929870
300,956185
301,1105445
302,917875
303,965260
304,995275
305,995720
306,1027000
307,984805
308,1013400
309,1017380
310,1039860
311,1052915
312,1017090
313,1003765
314,1141465
315,1083660
316,1067910
317,1091800
318,1058650
319,1046295
320,1155025
321,1088100
322,1061920
323,1109665
324,1118050
325,1140310
326,1101115
327,1171695
328,1151755
329,1163360
330,1148375
331,1257025
332,1357540
333,1296610
334,1360370
335,1292045
336,1299155
337,1343075
338,1296465
339,1369420
340,1340610
341,1307375
342,1376350
343,1381990
344,1371475
345,1315835
346,1370640
347,1349375
348,1356175
349,1382245
350,1385440
351,1353815
352,1436065
353,1528895
354,1716210
355,1539015
356,1521435
357,1452995
358,1459295
359,1525665
360,1454090
361,1638070
362,1451195
363,1472535
364,1469825
365,1498645
366,1484455
367,1551180
368,1541635
369,1511095
370,1534525
371,1547095
372,1532235
373,1587945
374,1578675
375,1591340
376,1593935
377,1614170
378,1632250
379,1619070
380,1641240
381,1648490
382,1630970
383,1715255
384,1649180
385,1692930
386,1663660
387,1856770
388,1667225
389,1670555
390,1708875
391,1703535
392,1770600
393,1709595
394,1694295
395,1727215
396,1750465
397,1807510
398,1800440
399,1885920
400,1827985
401,1827520
402,1780875
403,1789990
404,1796815
405,1878100
406,1829695
407,1834540
408,1810635
409,1878185
410,1831250
411,1838245
412,2028730
413,1953835
414,2202950
415,1982260
416,2136475
417,1967760
418,1929675
419,1916910
420,1894320
421,1918845
422,1993690
423,2032330
424,1973895
425,1992410
426,2021025
427,1996455
428,1979295
429,2018070
430,2006215
431,1976925
432,2017180
433,2009005
434,2032300
435,2076430
436,1980885
437,1869645
438,1935855
439,1911750
440,1954805
441,1920390
442,1952790
443,2075530
444,1977620
445,2018430
446,1986050
447,2055225
448,2002440
449,2005845
450,2154905
451,2053660
452,2178915
453,2221245
454,2184165
455,2069815
456,2119465
457,2109730
458,2389710
459,2276805
460,2298815
461,2399900
462,2306715
463,2349405
464,2336555
465,2364845
466,2359665
467,2364655
468,2393900
469,2388860
470,2399840
471,2401135
472,2426270
473,10711640
474,4260850
475,5512445
476,2501470
477,2519835
478,2546075
479,2465015
480,2510080
481,2396435
482,2393790
483,2436430
484,2840300
485,2641925
486,2653845
487,2617140
488,2598045
489,2503265
490,2400575
491,2473865
492,2797280
493,2758385
494,2613880
495,2708545
496,2706390
497,5747220
498,2699300
499,2662275
500,2699960
501,2839285
502,2926230
503,2921625
504,2899470
505,2845545
506,2874840
507,2874630
508,2886280
509,2875375
510,2805155
511,2839080
512,3065930
513,3071785
514,2863615
515,2806585
516,2800970
517,2876735
518,2882640
519,3069710
520,3038045
521,2898925
522,3032635
523,2963280
524,2942250
525,3031085
526,2942540
527,2983490
528,3153620
529,3035500
530,3014525
531,3017700
532,3007260
533,3081230
534,3047920
535,3119720
536,3067835
537,3158735
538,3099555
539,3209755
540,3155595
541,3251775
542,3142105
543,3208320
544,3233790
545,3298000
546,3202895
547,3230920
548,3238920
549,3280895
550,3264260
551,3228130
552,3271685
553,3283020
554,3297490
555,3155245
556,3009470
557,3134250
558,3070650
559,3082915
560,3149380
561,3168585
562,3403170
563,3147215
564,3164385
565,3231790
566,3125170
567,3128545
568,3129160
569,3149320
570,3126910
571,3151295
572,3290690
573,3217305
574,3198290
575,3191705
576,3262340
577,3246390
578,3222445
579,3237000
580,3346575
581,3270610
582,3311495
583,3263825
584,3287480
585,3284750
586,3311250
587,3422825
588,3350755
589,3644855
590,3827190
591,3801110
592,3470390
593,3478340
594,3987650
595,3757540
596,3790480
597,3810685
598,3815160
599,3777885
600,3802595
601,3778715
602,3853540
603,4073120
604,3988490
605,3986925
606,3786050
607,3583480
608,3565045
609,3679355
610,3584000
611,3572830
612,3624485
613,3620175
614,3677180
615,3641830
616,3709985
617,3629505
618,3724870
619,3675955
620,3862550
621,3984535
622,4341590
623,3812510
624,3798875
625,3940090
626,4144235
627,4168095
628,4171605
629,4169950
630,4190655
631,4216865
632,4205080
633,4355010
634,4284820
635,4368130
636,4266100
637,4106725
638,4024130
639,3935855
640,3956565
641,3911940
642,3915510
643,4000045
644,3947315
645,4000315
646,4052325
647,4018045
648,4224100
649,4114840
650,4256570
651,4058955
652,4637615
653,5023290
654,4109850
655,4153410
656,4136220
657,4347840
658,4142405
659,4162325
660,4239560
661,4143560
662,4234140
663,4184425
664,4246315
665,4188765
666,4211375
667,4355685
668,4250970
669,4289770
670,4245990
671,4256620
672,4299260
673,4505225
674,4387520
675,4421110
676,4467035
677,4387195
678,4386005
679,4387990
680,6501180
681,5145780
682,4454345
683,4406230
684,4430325
685,4457240
686,4507490
687,4570660
688,4538495
