Size,AverageTime(ns)
1,232811
2,155911
3,135990
4,125672
5,86833
6,134861
7,213689
8,181410
9,87118
10,76057
11,43637
12,799057
13,134152
14,72550
15,58941
16,40305
17,75152
18,94783
19,52663
20,62989
21,59394
22,71923
23,80480
24,93725
25,61484
26,64194
27,47465
28,63784
29,58280
30,69010
31,68425
32,79565
33,44642
34,62300
35,77600
36,124660
37,57894
38,49763
39,51557
40,54911
41,52375
42,78676
43,56213
44,107921
45,59764
46,60483
47,66610
48,73255
49,70157
50,64846
51,68700
52,133755
53,75512
54,72335
55,75972
56,77577
57,94578
58,105877
59,162673
60,128678
61,71058
62,137233
63,139470
64,98180
65,104340
66,76117
67,136165
68,99710
69,105661
70,125130
71,105700
72,130077
73,88182
74,90231
75,92316
76,96350
77,98183
78,181133
79,102078
80,108025
81,104181
82,106300
83,143290
84,111529
85,111244
86,113400
87,116155
88,169273
89,128933
90,122266
91,127370
92,131070
93,131083
94,130576
95,134394
96,138076
97,154789
98,138536
99,141055
100,143652
101,186370
102,147406
103,146668
104,161261
105,199205
106,156244
107,162911
108,164823
109,218736
110,168811
111,175329
112,184577
113,177261
114,182247
115,181626
116,282226
117,222635
118,191447
119,232463
120,202341
121,203229
122,208647
123,219029
124,222329
125,285955
126,299715
127,233962
128,242044
129,243457
130,356547
131,228276
132,280768
133,240058
134,404975
135,293160
136,330338
137,244994
138,257688
139,254781
140,250800
141,461331
142,278787
143,971368
144,502588
145,590544
146,267511
147,297241
148,284693
149,281776
150,292444
151,289568
152,291700
153,331210
154,294550
155,304568
156,302200
157,304464
158,424785
159,308381
160,323870
161,313965
162,344544
163,324035
164,399600
165,332100
166,351341
167,338894
168,351281
169,349110
170,372864
171,366630
172,356987
173,371835
174,389652
175,366866
176,373526
177,385800
178,403358
179,382788
180,384116
181,401481
182,393937
183,410894
184,400729
185,489985
186,439861
187,431031
188,436041
189,423594
190,457838
191,454326
192,434573
193,513715
194,454722
195,507280
196,485788
197,496058
198,457455
199,548705
200,487533
201,471268
202,517783
203,500350
204,485833
205,489438
206,568773
207,503942
208,506100
209,529917
210,530687
211,522650
212,515494
213,527118
214,533616
215,552944
216,545966
217,552511
218,548772
219,557443
220,576688
221,579366
222,568375
223,565052
224,572156
225,576518
226,644047
227,742115
228,743980
229,699663
230,755835
231,817355
232,857170
233,765368
234,645583
235,629964
236,643633
237,632517
238,661288
239,694778
240,738755
241,670200
242,658237
243,670955
244,680205
245,683670
246,685717
247,701766
248,707536
249,748316
250,701900
251,712315
252,726710
253,724655
254,726837
255,849063
256,856600
257,768638
258,738241
259,764370
260,766533
261,760181
262,765487
263,827500
264,797911
265,787025
266,791555
267,792658
268,848921
269,807317
270,810462
271,823517
272,813800
273,823717
274,835972
275,837764
276,851747
277,845925
278,924494
279,860081
280,862018
281,884894
282,883138
283,900847
284,901278
285,911311
286,920677
287,920200
288,1105260
289,925762
290,923523
291,961510
292,967505
293,977363
294,959616
295,964400
296,1022284
297,981088
298,1001958
299,985225
300,987572
301,1008194
302,1006782
303,1055321
304,1074616
305,1050327
306,1044841
307,1051216
308,1032329
309,1151015
310,1043683
311,1099650
312,1084144
313,1137763
314,1136226
315,1082681
316,1136683
317,1113200
318,1125255
319,1166294
320,1117076
321,1143937
322,1144138
323,1126852
324,1155911
325,1190673
326,1158335
327,1198688
328,1176535
329,1277494
330,1223652
331,1202482
332,1212622
333,1236600
334,1204394
335,1230564
336,1317294
337,1402855
338,1299289
339,1291850
340,1361300
341,1326733
342,1276429
343,1286616
344,1288741
345,1353038
346,1340011
347,1301037
348,1354682
349,1362255
350,1448400
351,1383222
352,1337935
353,1352664
354,1390561
355,1404533
356,1413835
357,1471936
358,1426329
359,1427111
360,1589310
361,1625145
362,1664850
363,1666133
364,1493994
365,1445882
366,1447811
367,1543195
368,1520284
369,1496678
370,1480366
371,1465306
372,1506070
373,1528168
374,1500588
375,1523083
376,1520376
377,1535872
378,1580894
379,1557050
380,1556252
381,1569841
382,1616395
383,1600215
384,1619626
385,1650830
386,1611483
387,1629050
388,1619200
389,1634788
390,1686542
391,1678138
392,1719826
393,1710230
394,1777975
395,1719521
396,1743789
397,1733994
398,1767495
399,1718000
400,1773289
401,1783757
402,1810045
403,1757711
404,1752337
405,2257155
406,1911575
407,1876789
408,1811015
409,1890168
410,1820355
411,1787212
412,1805031
413,1909855
414,1866061
415,1848282
416,1933965
417,1876461
418,1914944
419,1853150
420,1982085
421,2013400
422,1962561
423,1998925
424,1973411
425,1936161
426,2002744
427,1999438
428,2027145
429,2015478
430,2067952
431,1956870
432,2099675
433,2081122
434,1894305
435,1934810
436,1931220
437,1805875
438,1824062
439,1928510
440,1883233
441,1960935
442,1964742
443,2017255
444,1926765
445,1943111
446,1872412
447,2017235
448,2005960
449,1992605
450,2035050
451,2004638
452,1920156
453,2135010
454,2039994
455,2081410
456,2057440
457,2067163
458,2417190
459,2271255
460,2138975
461,2101957
462,2034625
463,2159836
464,2167870
465,2139647
466,2162036
467,2122444
468,2166421
469,2185252
470,2228400
471,2453175
472,2426273
473,2453889
474,2463185
475,2444288
476,2435316
477,2452952
478,2401400
479,2503576
