imageUrl,name,publisher,description,category,tags,price,reviewScore,reviewCount,stockQuantity,dateAdded,id,photoAuthor,photoAuthorUrl
https://images.unsplash.com/photo-1686386271712-183bcc0e256f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxVbHRyYSUyMFlvZ2ElMjBNYXR8ZW58MHx8fHwxNzcyMjI1ODI0fDA&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Ultra Yoga Mat,BrightLeaf Publishing,"The Ultra Yoga Mat 430 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Rechargeable, Lightweight, Compact, New Arrival, Bestseller",758.15,4.2,9359,1043,2021-06-03,Slg{=KK6NHd9,Gurpreet Singh,https://unsplash.com/@ajay_gill8054?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1754479125079-b5b48318547e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxDbGFzc2ljJTIwQmFja3BhY2t8ZW58MHx8fHwxNzcyMjI1ODI0fDA&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Classic Backpack,BrightLeaf Publishing,"The Classic Backpack 167 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Premium, Durable, Modern, Versatile, New Arrival",15.08,2.2,20,1123,2020-08-15,AJhS;aZjjxxz,Johan Mouchet,https://unsplash.com/@johanmouchet?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1589256469067-ea99122bbdc4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxQb3J0YWJsZSUyMEJsdWV0b290aCUyMFNwZWFrZXJ8ZW58MHx8fHwxNzcyMjI1ODI1fDA&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Portable Bluetooth Speaker,UrbanNest,"The Portable Bluetooth Speaker 488 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"Durable, Wireless, Bestseller, New Arrival, Lightweight",256.36,2.8,5144,1406,2018-05-12,qt{;]XOT9+ff,Habib Dadkhah,https://unsplash.com/@habibdadkhah?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1651599732956-88af9a1f2810?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxBZHZhbmNlZCUyMEdhbWluZyUyME1vdXNlfGVufDB8fHx8MTc3MjIyNTgyNXww&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Advanced Gaming Mouse,UrbanNest,"The Advanced Gaming Mouse 316 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"New Arrival, Giftable, Wireless, Bestseller, Essential",76.85,4.6,3235,1420,2016-08-21,F^;kuiNL53.e,Fitnish Media,https://unsplash.com/@fitnish?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1766713993296-4b7ce61e9ace?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxQb3J0YWJsZSUyMEdhbWluZyUyME1vdXNlfGVufDB8fHx8MTc3MjIyNTgyNXww&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Portable Gaming Mouse,BlueRiver Outfitters,"The Portable Gaming Mouse 352 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"New Arrival, Durable, Lightweight, Essential, Wireless",235.86,4.2,5747,906,2018-12-03,ETv??Sp[:TsL,Dou Buhiu,https://unsplash.com/@doubuhi?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1758599879792-d6d5d4e3289c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxTbWFydCUyMFlvZ2ElMjBNYXR8ZW58MHx8fHwxNzcyMjI1ODI2fDA&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Smart Yoga Mat,Summit Gear Co.,"The Smart Yoga Mat 320 by Summit Gear Co. delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Compact, Modern, Waterproof, Lightweight",635.04,1.9,8267,729,2023-05-26,jX#Viz\kJ\$^,Vitaly Gariev,https://unsplash.com/@silverkblack?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1651599732956-88af9a1f2810?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxBZHZhbmNlZCUyMEdhbWluZyUyME1vdXNlfGVufDB8fHx8MTc3MjIyNTgyNXww&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Advanced Gaming Mouse,UrbanNest,"The Advanced Gaming Mouse 342 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Durable, Wireless, Waterproof, Compact, Giftable",311.24,4.3,592,1020,2020-09-30,3u<'.DQWkYf(,Fitnish Media,https://unsplash.com/@fitnish?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1603376575925-467d14313a60?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxQb3J0YWJsZSUyME9mZmljZSUyMENoYWlyfGVufDB8fHx8MTc3MjIyNTgyNnww&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Portable Office Chair,SilverLine Electronics,"The Portable Office Chair 492 by SilverLine Electronics delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Wireless, Rechargeable, Bestseller, Ergonomic",467.06,3.5,2428,1331,2019-11-24,rBVyEa9;X!"+,Hanliang,https://unsplash.com/@hanliang?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1760278041943-8b2ccec1e9e2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxTbWFydCUyMEdhbWluZyUyME1vdXNlfGVufDB8fHx8MTc3MjIyNTgyNnww&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Smart Gaming Mouse,BrightLeaf Publishing,"The Smart Gaming Mouse 601 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Essential, Waterproof, Ergonomic, Wireless",316.6,2.1,4105,1520,2018-12-13,tVbHX-pV(b_2,Matúš Gocman,https://unsplash.com/@matgocman?utm_source=sse554_capstone&utm_medium=referral
https://images.unsplash.com/photo-1763369521070-11b994aa6d7e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxQcm9mZXNzaW9uYWwlMjBHcmFwaGljJTIwVC1TaGlydHxlbnwwfHx8fDE3NzIyMjU4Mjd8MA&ixlib=rb-4.1.0&q=80&w=1080?utm_source=sse554_capstone&utm_medium=referral,Professional Graphic T-Shirt,Maple Street Press,"The Professional Graphic T-Shirt 152 by Maple Street Press delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Durable, Wireless, Waterproof, Lightweight, Limited Edition",392.18,1.2,8660,1926,2025-03-15,9Sb+H6Xk`Kl^,Igor Shalyminov,https://unsplash.com/@ishalyminov?utm_source=sse554_capstone&utm_medium=referral
