image_url,name,publisher,description,category,tags,price,review_score,review_count,stock_quantity,date_added
https://images.unsplash.com/photo-1602143407151-7111542de6e8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxTdGFpbmxlc3MlMjBTdGVlbCUyMFdhdGVyJTIwQm90dGxlfGVufDB8fHx8MTc3MTAzNzY2OXww&ixlib=rb-4.1.0&q=80&w=1080,Stainless Steel Water Bottle,BrightTech,Stainless Steel Water Bottle by BrightTech. High-quality sports & outdoors product designed for everyday use and long-term durability.,Sports & Outdoors,"new-arrival, compact, smart, ergonomic",265.65,4.7,10299,998,2025-10-17T01:16:47.000
https://images.unsplash.com/photo-1626958390898-162d3577f293?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxNZWNoYW5pY2FsJTIwS2V5Ym9hcmR8ZW58MHx8fHwxNzcxMDM3NjY5fDA&ixlib=rb-4.1.0&q=80&w=1080,Mechanical Keyboard,NextGen,Mechanical Keyboard by NextGen. High-quality travel product designed for everyday use and long-term durability.,Travel,"waterproof, wireless, smart, new-arrival",326.13,4.5,11004,813,2025-09-04T01:16:47.000
https://images.unsplash.com/photo-1731761126492-2c2f6d0b2dfd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxQb3J0YWJsZSUyMEJsZW5kZXJ8ZW58MHx8fHwxNzcxMDM3NjcwfDA&ixlib=rb-4.1.0&q=80&w=1080,Portable Blender,FitZone,Portable Blender by FitZone. High-quality electronics product designed for everyday use and long-term durability.,Electronics,"wireless, lightweight, fast-charging, portable",310.1,4.2,7880,726,2024-12-24T01:16:47.000
https://images.unsplash.com/photo-1633381638729-27f730955c23?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxXaXJlbGVzcyUyMENoYXJnaW5nJTIwUGFkfGVufDB8fHx8MTc3MTAzNzY3MHww&ixlib=rb-4.1.0&q=80&w=1080,Wireless Charging Pad,NovaStyle,Wireless Charging Pad by NovaStyle. High-quality travel product designed for everyday use and long-term durability.,Travel,"budget, portable, wireless, ergonomic",392.03,4.0,7743,474,2024-09-08T01:16:47.000
https://images.unsplash.com/photo-1571406487954-dc11b0c0767d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxMRUQlMjBEZXNrJTIwTGFtcHxlbnwwfHx8fDE3NzEwMzc2NzB8MA&ixlib=rb-4.1.0&q=80&w=1080,LED Desk Lamp,PureLiving,LED Desk Lamp by PureLiving. High-quality smart home product designed for everyday use and long-term durability.,Smart Home,"lightweight, multi-use, portable, budget",162.01,3.3,2345,156,2024-12-20T01:16:47.000
https://images.unsplash.com/photo-1626958390898-162d3577f293?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxNZWNoYW5pY2FsJTIwS2V5Ym9hcmR8ZW58MHx8fHwxNzcxMDM3NjY5fDA&ixlib=rb-4.1.0&q=80&w=1080,Mechanical Keyboard,PrimeHouse,Mechanical Keyboard by PrimeHouse. High-quality office supplies product designed for everyday use and long-term durability.,Office Supplies,"eco-friendly, waterproof, bestseller, portable",336.36,4.4,11423,185,2026-02-08T01:16:47.000
https://images.unsplash.com/photo-1571406487954-dc11b0c0767d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxMRUQlMjBEZXNrJTIwTGFtcHxlbnwwfHx8fDE3NzEwMzc2NzB8MA&ixlib=rb-4.1.0&q=80&w=1080,LED Desk Lamp,PrimeHouse,LED Desk Lamp by PrimeHouse. High-quality office supplies product designed for everyday use and long-term durability.,Office Supplies,"fast-charging, durable, waterproof, new-arrival",550.13,3.9,7253,298,2025-12-22T01:16:47.000
https://images.unsplash.com/photo-1722710070534-e31f0290d8de?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxDb3JkbGVzcyUyMFZhY3V1bSUyMENsZWFuZXJ8ZW58MHx8fHwxNzcxMDM3NjcwfDA&ixlib=rb-4.1.0&q=80&w=1080,Cordless Vacuum Cleaner,HomeEase,Cordless Vacuum Cleaner by HomeEase. High-quality health & personal care product designed for everyday use and long-term durability.,Health & Personal Care,"compact, fast-charging, bestseller, multi-use",153.43,4.5,9589,117,2025-06-08T01:16:47.000
https://images.unsplash.com/photo-1655976796910-b239b1a1a41c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxTbWFydCUyMEhvbWUlMjBTcGVha2VyfGVufDB8fHx8MTc3MTAzNzY3MXww&ixlib=rb-4.1.0&q=80&w=1080,Smart Home Speaker,CoreMax,Smart Home Speaker by CoreMax. High-quality home & kitchen product designed for everyday use and long-term durability.,Home & Kitchen,"wireless, premium, bestseller, lightweight",474.85,2.9,3938,960,2025-06-23T01:16:47.000
https://images.unsplash.com/photo-1728977627308-1100ae430cef?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQxNTN8MHwxfHNlYXJjaHwxfHxPcmdhbmljJTIwR3JlZW4lMjBUZWElMjBQYWNrfGVufDB8fHx8MTc3MTAzNzY3MXww&ixlib=rb-4.1.0&q=80&w=1080,Organic Green Tea Pack,NovaStyle,Organic Green Tea Pack by NovaStyle. High-quality smart home product designed for everyday use and long-term durability.,Smart Home,"premium, compact, fast-charging, smart",555.3,3.2,11002,418,2024-06-22T01:16:47.000
