Table Size,Algorithm,Comparator,Average Time (ns)
1,quick,Price Ascending,100
4,quick,Price Ascending,4350
7,quick,Price Ascending,21880
10,quick,Price Ascending,47640
13,quick,Price Ascending,14375
16,quick,Price Ascending,19975
19,quick,Price Ascending,15675
22,quick,Price Ascending,23820
25,quick,Price Ascending,43520
28,quick,Price Ascending,20050
31,quick,Price Ascending,40466
34,quick,Price Ascending,60000
37,quick,Price Ascending,59166
40,quick,Price Ascending,36975
43,quick,Price Ascending,62750
46,quick,Price Ascending,72733
49,quick,Price Ascending,80366
52,quick,Price Ascending,49900
55,quick,Price Ascending,56233
58,quick,Price Ascending,71766
61,quick,Price Ascending,132150
64,quick,Price Ascending,82450
67,quick,Price Ascending,86500
70,quick,Price Ascending,144800
73,quick,Price Ascending,117640
76,quick,Price Ascending,66675
79,quick,Price Ascending,68400
82,quick,Price Ascending,65966
85,quick,Price Ascending,73800
88,quick,Price Ascending,76033
91,quick,Price Ascending,133000
94,quick,Price Ascending,149400
97,quick,Price Ascending,94100
100,quick,Price Ascending,103875
103,quick,Price Ascending,178366
106,quick,Price Ascending,187550
109,quick,Price Ascending,141633
112,quick,Price Ascending,217400
115,quick,Price Ascending,228766
118,quick,Price Ascending,259200
121,quick,Price Ascending,276833
124,quick,Price Ascending,181725
127,quick,Price Ascending,172650
130,quick,Price Ascending,382400
133,quick,Price Ascending,467325
136,quick,Price Ascending,197033
139,quick,Price Ascending,211100
142,quick,Price Ascending,224033
145,quick,Price Ascending,235033
148,quick,Price Ascending,250450
151,quick,Price Ascending,244600
154,quick,Price Ascending,272100
157,quick,Price Ascending,304700
160,quick,Price Ascending,280500
163,quick,Price Ascending,298166
166,quick,Price Ascending,302200
169,quick,Price Ascending,352900
172,quick,Price Ascending,369666
175,quick,Price Ascending,385533
178,quick,Price Ascending,442400
181,quick,Price Ascending,383033
184,quick,Price Ascending,488500
187,quick,Price Ascending,446866
190,quick,Price Ascending,421200
193,quick,Price Ascending,432300
196,quick,Price Ascending,444633
199,quick,Price Ascending,486850
202,quick,Price Ascending,501700
205,quick,Price Ascending,489275
208,quick,Price Ascending,535033
211,quick,Price Ascending,669525
214,quick,Price Ascending,535300
217,quick,Price Ascending,558975
220,quick,Price Ascending,699100
223,quick,Price Ascending,633100
226,quick,Price Ascending,683975
229,quick,Price Ascending,631433
232,quick,Price Ascending,849550
235,quick,Price Ascending,666166
238,quick,Price Ascending,779925
241,quick,Price Ascending,933325
244,quick,Price Ascending,777000
247,quick,Price Ascending,939580
250,quick,Price Ascending,819733
253,quick,Price Ascending,755850
256,quick,Price Ascending,868775
259,quick,Price Ascending,831066
262,quick,Price Ascending,1204800
265,quick,Price Ascending,904475
268,quick,Price Ascending,844325
271,quick,Price Ascending,946033
274,quick,Price Ascending,951733
277,quick,Price Ascending,914700
280,quick,Price Ascending,1510550
283,quick,Price Ascending,946875
286,quick,Price Ascending,1100900
289,quick,Price Ascending,1021066
292,quick,Price Ascending,1117500
295,quick,Price Ascending,1046775
298,quick,Price Ascending,1454750
301,quick,Price Ascending,1200900
304,quick,Price Ascending,1526750
307,quick,Price Ascending,1165333
310,quick,Price Ascending,1339800
313,quick,Price Ascending,1202150
316,quick,Price Ascending,1382933
319,quick,Price Ascending,1385400
322,quick,Price Ascending,1233750
325,quick,Price Ascending,2188133
328,quick,Price Ascending,1381133
331,quick,Price Ascending,1664300
334,quick,Price Ascending,1518900
337,quick,Price Ascending,1469100
340,quick,Price Ascending,1551066
343,quick,Price Ascending,1600066
346,quick,Price Ascending,1900700
349,quick,Price Ascending,1584850
352,quick,Price Ascending,1553700
355,quick,Price Ascending,1752000
358,quick,Price Ascending,1789200
361,quick,Price Ascending,2690840
364,quick,Price Ascending,2143825
367,quick,Price Ascending,1838450
370,quick,Price Ascending,1859033
373,quick,Price Ascending,1893966
376,quick,Price Ascending,2080033
379,quick,Price Ascending,2017400
382,quick,Price Ascending,1779000
385,quick,Price Ascending,1840166
388,quick,Price Ascending,2261600
391,quick,Price Ascending,1863833
394,quick,Price Ascending,2083500
397,quick,Price Ascending,2074200
400,quick,Price Ascending,1961933
403,quick,Price Ascending,1975900
406,quick,Price Ascending,2316125
409,quick,Price Ascending,2152300
412,quick,Price Ascending,2243900
415,quick,Price Ascending,2441100
418,quick,Price Ascending,2399266
421,quick,Price Ascending,2481200
424,quick,Price Ascending,2706850
427,quick,Price Ascending,2335366
430,quick,Price Ascending,2293400
433,quick,Price Ascending,2805725
436,quick,Price Ascending,3152833
439,quick,Price Ascending,2866225
442,quick,Price Ascending,2806533
445,quick,Price Ascending,2574733
448,quick,Price Ascending,3097575
451,quick,Price Ascending,3084766
454,quick,Price Ascending,3450800
457,quick,Price Ascending,2851833
460,quick,Price Ascending,3318300
463,quick,Price Ascending,3580366
466,quick,Price Ascending,2974933
469,quick,Price Ascending,3121225
472,quick,Price Ascending,3125925
475,quick,Price Ascending,2925925
478,quick,Price Ascending,3171500
481,quick,Price Ascending,3326950
484,quick,Price Ascending,3029200
487,quick,Price Ascending,3228600
490,quick,Price Ascending,3071025
493,quick,Price Ascending,3388733
496,quick,Price Ascending,3210025
499,quick,Price Ascending,3411633
502,quick,Price Ascending,3298433
505,quick,Price Ascending,3450300
508,quick,Price Ascending,3644675
511,quick,Price Ascending,3832500
514,quick,Price Ascending,3577325
517,quick,Price Ascending,3884050
520,quick,Price Ascending,3623900
523,quick,Price Ascending,3921875
526,quick,Price Ascending,3986000
529,quick,Price Ascending,5438775
532,quick,Price Ascending,6417900
535,quick,Price Ascending,5064000
538,quick,Price Ascending,4885966
541,quick,Price Ascending,4597466
544,quick,Price Ascending,5676875
547,quick,Price Ascending,4359266
550,quick,Price Ascending,4413900
553,quick,Price Ascending,4441266
556,quick,Price Ascending,4826075
559,quick,Price Ascending,4724475
562,quick,Price Ascending,4789675
565,quick,Price Ascending,4729800
568,quick,Price Ascending,4821050
571,quick,Price Ascending,4786300
574,quick,Price Ascending,4587700
577,quick,Price Ascending,5018050
580,quick,Price Ascending,5490200
583,quick,Price Ascending,4860025
586,quick,Price Ascending,5266775
589,quick,Price Ascending,5037150
592,quick,Price Ascending,5196200
595,quick,Price Ascending,5675433
598,quick,Price Ascending,6833275
601,quick,Price Ascending,6176033
604,quick,Price Ascending,6079333
607,quick,Price Ascending,6304000
610,quick,Price Ascending,7278975
613,quick,Price Ascending,5868833
